,C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn
1311,A010,R080,00-00-06,05-05-11,12:00:00,REGULAR,11654202,3436379
1312,A010,R080,00-00-06,05-05-11,16:00:00,REGULAR,11654812,3436496
1313,A010,R080,00-00-06,05-05-11,20:00:00,REGULAR,11655965,3436584
1314,A010,R080,00-00-06,05-06-11,00:00:00,REGULAR,11656503,3436616
1315,A010,R080,00-00-06,05-06-11,04:00:00,REGULAR,11656590,3436626
1318,A010,R080,00-00-06,05-06-11,12:00:00,REGULAR,11656979,3436925
1319,A010,R080,00-00-06,05-06-11,13:00:05,REGULAR,11657087,3436961
1324,A010,R080,00-00-07,05-01-11,00:00:00,REGULAR,18828917,4056371
1325,A010,R080,00-00-07,05-01-11,04:00:00,REGULAR,18829113,4056395
1326,A010,R080,00-00-07,05-01-11,08:00:00,REGULAR,18829190,4056456
1327,A010,R080,00-00-07,05-01-11,12:00:00,REGULAR,18829532,4056676
1328,A010,R080,00-00-07,05-01-11,16:00:00,REGULAR,18830232,4056936
1329,A010,R080,00-00-07,05-01-11,20:00:00,REGULAR,18831174,4057064
1330,A010,R080,00-00-07,05-02-11,00:00:00,REGULAR,18831679,4057107
1331,A010,R080,00-00-07,05-02-11,04:00:00,REGULAR,18831760,4057121
1333,A010,R080,00-00-07,05-02-11,08:00:00,REGULAR,18831923,4057258
1334,A010,R080,00-00-07,05-02-11,12:00:00,REGULAR,18832670,4057555
1335,A010,R080,00-00-07,05-02-11,16:00:00,REGULAR,18833644,4057671
1336,A010,R080,00-00-07,05-02-11,20:00:00,REGULAR,18835327,4057732
1337,A010,R080,00-00-07,05-03-11,00:00:00,REGULAR,18836139,4057769
1338,A010,R080,00-00-07,05-03-11,04:00:00,REGULAR,18836283,4057773
1341,A010,R080,00-00-07,05-03-11,08:00:00,REGULAR,18836442,4057990
1342,A010,R080,00-00-07,05-03-11,12:00:00,REGULAR,18837241,4058240
1343,A010,R080,00-00-07,05-03-11,14:13:19,REGULAR,18837754,4058308
1344,A010,R080,00-00-07,05-03-11,16:00:00,REGULAR,18838205,4058333
1345,A010,R080,00-00-07,05-03-11,20:00:00,REGULAR,18838350,4058426
1346,A010,R080,00-00-07,05-04-11,00:00:00,REGULAR,18838350,4058455
1347,A010,R080,00-00-07,05-04-11,04:00:00,REGULAR,18838350,4058459
1348,A010,R080,00-00-07,05-04-11,08:00:00,REGULAR,18838409,4058604
1349,A010,R080,00-00-07,05-04-11,12:00:00,REGULAR,18839200,4058855
1350,A010,R080,00-00-07,05-04-11,16:00:00,REGULAR,18840206,4058968
1351,A010,R080,00-00-07,05-04-11,20:00:00,REGULAR,18841969,4059034
1352,A010,R080,00-00-07,05-05-11,00:00:00,REGULAR,18842810,4059064
1355,A010,R080,00-00-07,05-05-11,08:00:00,REGULAR,18843113,4059226
1356,A010,R080,00-00-07,05-05-11,12:00:00,REGULAR,18844023,4059499
1357,A010,R080,00-00-07,05-05-11,16:00:00,REGULAR,18845157,4059636
1358,A010,R080,00-00-07,05-05-11,20:00:00,REGULAR,18846941,4059724
1359,A010,R080,00-00-07,05-06-11,00:00:00,REGULAR,18847925,4059760
1360,A010,R080,00-00-07,05-06-11,04:00:00,REGULAR,18848110,4059770
1363,A010,R080,00-00-07,05-06-11,12:00:00,REGULAR,18849046,4060220
1364,A010,R080,00-00-07,05-06-11,16:00:00,REGULAR,18850067,4060346
1365,A010,R080,00-00-07,05-06-11,20:00:00,REGULAR,18851691,4060412
1366,A011,R080,01-00-00,05-01-11,00:00:00,REGULAR,9992639,11335475
1367,A011,R080,01-00-00,05-01-11,04:00:00,REGULAR,9992769,11335546
1368,A011,R080,01-00-00,05-01-11,08:00:00,REGULAR,9992826,11335681
1369,A011,R080,01-00-00,05-01-11,12:00:00,REGULAR,9993099,11336100
1376,A011,R080,01-00-00,05-01-11,20:00:00,REGULAR,9993913,11336873
1377,A011,R080,01-00-00,05-02-11,00:00:00,REGULAR,9994166,11337021
1378,A011,R080,01-00-00,05-02-11,04:00:00,REGULAR,9994222,11337051
1381,A011,R080,01-00-00,05-02-11,12:00:00,REGULAR,9994756,11338597
1382,A011,R080,01-00-00,05-02-11,16:00:00,REGULAR,9995261,11338994
1383,A011,R080,01-00-00,05-02-11,20:00:00,REGULAR,9996384,11339309
1384,A011,R080,01-00-00,05-03-11,00:00:00,REGULAR,9996811,11339397
1385,A011,R080,01-00-00,05-03-11,04:00:00,REGULAR,9996915,11339422
1386,A011,R080,01-00-00,05-03-11,08:00:00,REGULAR,9997018,11339842
1387,A011,R080,01-00-00,05-03-11,12:00:00,REGULAR,9997411,11341057
1388,A011,R080,01-00-00,05-03-11,16:00:00,REGULAR,9997995,11341478
1389,A011,R080,01-00-00,05-03-11,20:00:00,REGULAR,9999205,11341850
1390,A011,R080,01-00-00,05-04-11,00:00:00,REGULAR,9999649,11341995
1391,A011,R080,01-00-00,05-04-11,04:00:00,REGULAR,9999740,11342018
1392,A011,R080,01-00-00,05-04-11,08:00:00,REGULAR,9999867,11342446
1393,A011,R080,01-00-00,05-04-11,12:00:00,REGULAR,10000260,11343647
1394,A011,R080,01-00-00,05-04-11,16:00:00,REGULAR,10000839,11344118
1395,A011,R080,01-00-00,05-04-11,20:00:00,REGULAR,10002077,11344506
1396,A011,R080,01-00-00,05-05-11,00:00:00,REGULAR,10002557,11344643
1399,A011,R080,01-00-00,05-05-11,08:00:00,REGULAR,10002775,11345107
1400,A011,R080,01-00-00,05-05-11,12:00:00,REGULAR,10003190,11346233
1401,A011,R080,01-00-00,05-05-11,16:00:00,REGULAR,10003806,11346698
1402,A011,R080,01-00-00,05-05-11,20:00:00,REGULAR,10004969,11347143
1403,A011,R080,01-00-00,05-06-11,00:00:00,REGULAR,10005464,11347277
1404,A011,R080,01-00-00,05-06-11,04:00:00,REGULAR,10005587,11347307
1405,A011,R080,01-00-00,05-06-11,08:00:00,REGULAR,10005698,11347730
1406,A011,R080,01-00-00,05-06-11,12:00:00,REGULAR,10006067,11348822
1407,A011,R080,01-00-00,05-06-11,16:00:00,REGULAR,10006681,11349264
1408,A011,R080,01-00-00,05-06-11,20:00:00,REGULAR,10007769,11349685
1409,A011,R080,01-00-01,05-01-11,00:00:00,REGULAR,7185196,5191101
1410,A011,R080,01-00-01,05-01-11,04:00:00,REGULAR,7185264,5191132
1411,A011,R080,01-00-01,05-01-11,08:00:00,REGULAR,7185292,5191182
1412,A011,R080,01-00-01,05-01-11,12:00:00,REGULAR,7185469,5191364
1419,A011,R080,01-00-01,05-02-11,04:00:00,REGULAR,7186127,5191821
1422,A011,R080,01-00-01,05-02-11,12:00:00,REGULAR,7186458,5192612
1423,A011,R080,01-00-01,05-02-11,16:00:00,REGULAR,7186796,5192799
1424,A011,R080,01-00-01,05-02-11,20:00:00,REGULAR,7187717,5192927
1425,A011,R080,01-00-01,05-03-11,00:00:00,REGULAR,7187968,5192963
1426,A011,R080,01-00-01,05-03-11,04:00:00,REGULAR,7188018,5192969
1427,A011,R080,01-00-01,05-03-11,08:00:00,REGULAR,7188082,5193199
1428,A011,R080,01-00-01,05-03-11,12:00:00,REGULAR,7188414,5193819
1429,A011,R080,01-00-01,05-03-11,16:00:00,REGULAR,7188752,5193994
1430,A011,R080,01-00-01,05-03-11,20:00:00,REGULAR,7189665,5194165
1431,A011,R080,01-00-01,05-04-11,00:00:00,REGULAR,7189967,5194231
1432,A011,R080,01-00-01,05-04-11,04:00:00,REGULAR,7190022,5194241
1433,A011,R080,01-00-01,05-04-11,08:00:00,REGULAR,7190100,5194448
1434,A011,R080,01-00-01,05-04-11,12:00:00,REGULAR,7190425,5195118
1435,A011,R080,01-00-01,05-04-11,16:00:00,REGULAR,7190830,5195327
1436,A011,R080,01-00-01,05-04-11,20:00:00,REGULAR,7191763,5195498
1437,A011,R080,01-00-01,05-05-11,00:00:00,REGULAR,7192067,5195532
1438,A011,R080,01-00-01,05-05-11,04:00:00,REGULAR,7192124,5195539
1441,A011,R080,01-00-01,05-05-11,12:00:00,REGULAR,7192536,5196421
1442,A011,R080,01-00-01,05-05-11,16:00:00,REGULAR,7192931,5196594
1443,A011,R080,01-00-01,05-05-11,20:00:00,REGULAR,7193815,5196787
1444,A011,R080,01-00-01,05-06-11,00:00:00,REGULAR,7194149,5196842
1445,A011,R080,01-00-01,05-06-11,04:00:00,REGULAR,7194211,5196857
1446,A011,R080,01-00-01,05-06-11,08:00:00,REGULAR,7194267,5197043
1447,A011,R080,01-00-01,05-06-11,12:00:00,REGULAR,7194551,5197702
1448,A011,R080,01-00-01,05-06-11,16:00:00,REGULAR,7194938,5197907
1449,A011,R080,01-00-01,05-06-11,20:00:00,REGULAR,7195819,5198062
1450,A011,R080,01-00-02,05-01-11,00:00:00,REGULAR,4302058,3715176
1451,A011,R080,01-00-02,05-01-11,04:00:00,REGULAR,4302113,3715190
1452,A011,R080,01-00-02,05-01-11,08:00:00,REGULAR,4302136,3715223
1453,A011,R080,01-00-02,05-01-11,12:00:00,REGULAR,4302285,3715329
1460,A011,R080,01-00-02,05-01-11,20:00:00,REGULAR,4302672,3715601
1461,A011,R080,01-00-02,05-02-11,00:00:00,REGULAR,4302774,3715644
1462,A011,R080,01-00-02,05-02-11,04:00:00,REGULAR,4302798,3715644
1463,A011,R080,01-00-02,05-02-11,08:00:00,REGULAR,4302839,3715811
1464,A011,R080,01-00-02,05-02-11,12:00:00,REGULAR,4303039,3716338
1465,A011,R080,01-00-02,05-02-11,16:00:00,REGULAR,4303256,3716487
1466,A011,R080,01-00-02,05-02-11,20:00:00,REGULAR,4303904,3716664
1467,A011,R080,01-00-02,05-03-11,00:00:00,REGULAR,4304078,3716703
1468,A011,R080,01-00-02,05-03-11,04:00:00,REGULAR,4304103,3716711
1469,A011,R080,01-00-02,05-03-11,08:00:00,REGULAR,4304147,3716896
1470,A011,R080,01-00-02,05-03-11,12:00:00,REGULAR,4304356,3717443
1471,A011,R080,01-00-02,05-03-11,16:00:00,REGULAR,4304626,3717615
1472,A011,R080,01-00-02,05-03-11,20:00:00,REGULAR,4305340,3717820
1473,A011,R080,01-00-02,05-04-11,00:00:00,REGULAR,4305534,3717880
1474,A011,R080,01-00-02,05-04-11,04:00:00,REGULAR,4305562,3717886
1475,A011,R080,01-00-02,05-04-11,08:00:00,REGULAR,4305599,3718057
1476,A011,R080,01-00-02,05-04-11,12:00:00,REGULAR,4305835,3718589
1477,A011,R080,01-00-02,05-04-11,16:00:00,REGULAR,4306100,3718787
1478,A011,R080,01-00-02,05-04-11,20:00:00,REGULAR,4306857,3719002
1479,A011,R080,01-00-02,05-05-11,00:00:00,REGULAR,4307064,3719057
1480,A011,R080,01-00-02,05-05-11,04:00:00,REGULAR,4307106,3719065
1483,A011,R080,01-00-02,05-05-11,12:00:00,REGULAR,4307385,3719851
1484,A011,R080,01-00-02,05-05-11,16:00:00,REGULAR,4307669,3720058
1485,A011,R080,01-00-02,05-05-11,20:00:00,REGULAR,4308304,3720293
1486,A011,R080,01-00-02,05-06-11,00:00:00,REGULAR,4308501,3720350
1487,A011,R080,01-00-02,05-06-11,04:00:00,REGULAR,4308532,3720355
1488,A011,R080,01-00-02,05-06-11,08:00:00,REGULAR,4308571,3720501
1489,A011,R080,01-00-02,05-06-11,12:00:00,REGULAR,4308798,3720977
1490,A011,R080,01-00-02,05-06-11,16:00:00,REGULAR,4309065,3721165
1491,A011,R080,01-00-02,05-06-11,20:00:00,REGULAR,4309713,3721365
1492,A011,R080,01-00-03,05-01-11,00:00:00,REGULAR,5082712,4796020
1493,A011,R080,01-00-03,05-01-11,04:00:00,REGULAR,5082752,4796052
1494,A011,R080,01-00-03,05-01-11,08:00:00,REGULAR,5082776,4796080
1495,A011,R080,01-00-03,05-01-11,12:00:00,REGULAR,5082890,4796166
1500,A011,R080,01-00-03,05-01-11,20:00:00,REGULAR,5083207,4796509
1502,A011,R080,01-00-03,05-02-11,04:00:00,REGULAR,5083304,4796594
1503,A011,R080,01-00-03,05-02-11,08:00:00,REGULAR,5083333,4796728
1504,A011,R080,01-00-03,05-02-11,12:00:00,REGULAR,5083483,4797279
1505,A011,R080,01-00-03,05-02-11,16:00:00,REGULAR,5083674,4797521
1506,A011,R080,01-00-03,05-02-11,20:00:00,REGULAR,5084289,4797845
1507,A011,R080,01-00-03,05-03-11,00:00:00,REGULAR,5084435,4797943
1508,A011,R080,01-00-03,05-03-11,04:00:00,REGULAR,5084453,4797953
1509,A011,R080,01-00-03,05-03-11,08:00:00,REGULAR,5084491,4798092
1510,A011,R080,01-00-03,05-03-11,12:00:00,REGULAR,5084654,4798646
1511,A011,R080,01-00-03,05-03-11,16:00:00,REGULAR,5084863,4798914
1512,A011,R080,01-00-03,05-03-11,20:00:00,REGULAR,5085486,4799309
1513,A011,R080,01-00-03,05-04-11,00:00:00,REGULAR,5085651,4799421
1514,A011,R080,01-00-03,05-04-11,04:00:00,REGULAR,5085684,4799438
1515,A011,R080,01-00-03,05-04-11,08:00:00,REGULAR,5085716,4799562
1516,A011,R080,01-00-03,05-04-11,12:00:00,REGULAR,5085924,4800147
1517,A011,R080,01-00-03,05-04-11,16:00:00,REGULAR,5086173,4800394
1518,A011,R080,01-00-03,05-04-11,20:00:00,REGULAR,5086890,4800778
1519,A011,R080,01-00-03,05-05-11,00:00:00,REGULAR,5087060,4800898
1520,A011,R080,01-00-03,05-05-11,04:00:00,REGULAR,5087086,4800908
1523,A011,R080,01-00-03,05-05-11,12:00:00,REGULAR,5087337,4801586
1524,A011,R080,01-00-03,05-05-11,16:00:00,REGULAR,5087554,4801867
1525,A011,R080,01-00-03,05-05-11,20:00:00,REGULAR,5088207,4802258
1526,A011,R080,01-00-03,05-06-11,00:00:00,REGULAR,5088398,4802392
1527,A011,R080,01-00-03,05-06-11,04:00:00,REGULAR,5088424,4802409
1528,A011,R080,01-00-03,05-06-11,08:00:00,REGULAR,5088459,4802528
1529,A011,R080,01-00-03,05-06-11,12:00:00,REGULAR,5088654,4803027
1530,A011,R080,01-00-03,05-06-11,16:00:00,REGULAR,5088863,4803307
1531,A011,R080,01-00-03,05-06-11,20:00:00,REGULAR,5089486,4803700
1532,A011,R080,01-00-04,05-01-11,00:00:00,REGULAR,7207405,7286006
1533,A011,R080,01-00-04,05-01-11,04:00:00,REGULAR,7207477,7286057
1534,A011,R080,01-00-04,05-01-11,08:00:00,REGULAR,7207524,7286100
1535,A011,R080,01-00-04,05-01-11,12:00:00,REGULAR,7207673,7286305
1536,A011,R080,01-00-04,05-01-11,16:00:00,REGULAR,7207874,7286620
1541,A011,R080,01-00-04,05-02-11,04:00:00,REGULAR,7208307,7287080
1542,A011,R080,01-00-04,05-02-11,08:00:00,REGULAR,7208366,7287262
1543,A011,R080,01-00-04,05-02-11,12:00:00,REGULAR,7208592,7288070
1544,A011,R080,01-00-04,05-02-11,16:00:00,REGULAR,7208893,7288470
1545,A011,R080,01-00-04,05-02-11,20:00:00,REGULAR,7209728,7288858
1546,A011,R080,01-00-04,05-03-11,00:00:00,REGULAR,7209962,7289043
1547,A011,R080,01-00-04,05-03-11,04:00:00,REGULAR,7210011,7289059
1548,A011,R080,01-00-04,05-03-11,08:00:00,REGULAR,7210077,7289259
1549,A011,R080,01-00-04,05-03-11,12:00:00,REGULAR,7210309,7290062
1550,A011,R080,01-00-04,05-03-11,16:00:00,REGULAR,7210659,7290472
1551,A011,R080,01-00-04,05-03-11,20:00:00,REGULAR,7211529,7290896
1552,A011,R080,01-00-04,05-04-11,00:00:00,REGULAR,7211779,7291087
1553,A011,R080,01-00-04,05-04-11,04:00:00,REGULAR,7211827,7291113
1554,A011,R080,01-00-04,05-04-11,08:00:00,REGULAR,7211883,7291304
1555,A011,R080,01-00-04,05-04-11,12:00:00,REGULAR,7212112,7292220
1556,A011,R080,01-00-04,05-04-11,16:00:00,REGULAR,7212512,7292626
1557,A011,R080,01-00-04,05-04-11,20:00:00,REGULAR,7213429,7293105
1558,A011,R080,01-00-04,05-05-11,00:00:00,REGULAR,7213717,7293311
1559,A011,R080,01-00-04,05-05-11,04:00:00,REGULAR,7213769,7293332
1560,A011,R080,01-00-04,05-05-11,08:00:00,REGULAR,7213831,7293529
1561,A011,R080,01-00-04,05-05-11,12:00:00,REGULAR,7214067,7294329
1562,A011,R080,01-00-04,05-05-11,16:00:00,REGULAR,7214423,7294747
1563,A011,R080,01-00-04,05-05-11,20:00:00,REGULAR,7215257,7295237
1564,A011,R080,01-00-04,05-06-11,00:00:00,REGULAR,7215509,7295470
1565,A011,R080,01-00-04,05-06-11,04:00:00,REGULAR,7215571,7295502
1566,A011,R080,01-00-04,05-06-11,08:00:00,REGULAR,7215613,7295694
1567,A011,R080,01-00-04,05-06-11,12:00:00,REGULAR,7215831,7296487
1568,A011,R080,01-00-04,05-06-11,16:00:00,REGULAR,7216202,7296894
1569,A011,R080,01-00-04,05-06-11,20:00:00,REGULAR,7217039,7297414
1570,A011,R080,01-00-05,05-01-11,00:00:00,REGULAR,9335520,8245209
1571,A011,R080,01-00-05,05-01-11,04:00:00,REGULAR,9335608,8245268
1572,A011,R080,01-00-05,05-01-11,08:00:00,REGULAR,9335645,8245344
1573,A011,R080,01-00-05,05-01-11,12:00:00,REGULAR,9335772,8245555
1574,A011,R080,01-00-05,05-01-11,16:00:00,REGULAR,9336023,8245959
1579,A011,R080,01-00-05,05-02-11,04:00:00,REGULAR,9336580,8246411
1580,A011,R080,01-00-05,05-02-11,08:00:00,REGULAR,9336640,8246677
1581,A011,R080,01-00-05,05-02-11,12:00:00,REGULAR,9336827,8247507
1582,A011,R080,01-00-05,05-02-11,16:00:00,REGULAR,9337229,8247866
1583,A011,R080,01-00-05,05-02-11,20:00:00,REGULAR,9338379,8248187
1584,A011,R080,01-00-05,05-03-11,00:00:00,REGULAR,9338707,8248337
1585,A011,R080,01-00-05,05-03-11,04:00:00,REGULAR,9338766,8248360
1586,A011,R080,01-00-05,05-03-11,08:00:00,REGULAR,9338834,8248641
1587,A011,R080,01-00-05,05-03-11,12:00:00,REGULAR,9339053,8249636
1588,A011,R080,01-00-05,05-03-11,16:00:00,REGULAR,9339495,8250020
1589,A011,R080,01-00-05,05-03-11,20:00:00,REGULAR,9340587,8250355
1590,A011,R080,01-00-05,05-04-11,00:00:00,REGULAR,9340927,8250523
1591,A011,R080,01-00-05,05-04-11,04:00:00,REGULAR,9340998,8250542
1592,A011,R080,01-00-05,05-04-11,08:00:00,REGULAR,9341061,8250812
1593,A011,R080,01-00-05,05-04-11,12:00:00,REGULAR,9341306,8251802
1594,A011,R080,01-00-05,05-04-11,16:00:00,REGULAR,9341783,8252188
1595,A011,R080,01-00-05,05-04-11,20:00:00,REGULAR,9342975,8252521
1596,A011,R080,01-00-05,05-05-11,00:00:00,REGULAR,9343338,8252681
1597,A011,R080,01-00-05,05-05-11,04:00:00,REGULAR,9343412,8252711
1598,A011,R080,01-00-05,05-05-11,08:00:00,REGULAR,9343470,8253001
1599,A011,R080,01-00-05,05-05-11,12:00:00,REGULAR,9343698,8253965
1600,A011,R080,01-00-05,05-05-11,16:00:00,REGULAR,9344178,8254456
1601,A011,R080,01-00-05,05-05-11,20:00:00,REGULAR,9345319,8254858
1602,A011,R080,01-00-05,05-06-11,00:00:00,REGULAR,9345725,8255101
1603,A011,R080,01-00-05,05-06-11,04:00:00,REGULAR,9345816,8255136
1604,A011,R080,01-00-05,05-06-11,08:00:00,REGULAR,9345876,8255408
1605,A011,R080,01-00-05,05-06-11,12:00:00,REGULAR,9346082,8256378
1606,A011,R080,01-00-05,05-06-11,16:00:00,REGULAR,9346557,8256859
1607,A011,R080,01-00-05,05-06-11,20:00:00,REGULAR,9347616,8257314
1608,A013,R081,01-00-00,05-01-11,00:00:00,REGULAR,4453010,24453540
1610,A013,R081,01-00-00,05-01-11,04:00:00,REGULAR,4453054,24453642
1611,A013,R081,01-00-00,05-01-11,08:00:00,REGULAR,4453066,24453720
1612,A013,R081,01-00-00,05-01-11,12:00:00,REGULAR,4453086,24454173
1613,A013,R081,01-00-00,05-01-11,16:00:00,REGULAR,4453145,24454983
1614,A013,R081,01-00-00,05-01-11,20:00:00,REGULAR,4453254,24455786
1615,A013,R081,01-00-00,05-02-11,00:00:00,REGULAR,4453323,24456101
1616,A013,R081,01-00-00,05-02-11,04:00:00,REGULAR,4453344,24456143
1617,A013,R081,01-00-00,05-02-11,08:00:00,REGULAR,4453362,24456688
1618,A013,R081,01-00-00,05-02-11,12:00:00,REGULAR,4453392,24458273
1619,A013,R081,01-00-00,05-02-11,16:00:00,REGULAR,4453477,24459341
1620,A013,R081,01-00-00,05-02-11,20:00:00,REGULAR,4453813,24460524
1621,A013,R081,01-00-00,05-03-11,00:00:00,REGULAR,4453993,24460916
1622,A013,R081,01-00-00,05-03-11,04:00:00,REGULAR,4454027,24460945
1623,A013,R081,01-00-00,05-03-11,08:00:00,REGULAR,4454042,24461487
1624,A013,R081,01-00-00,05-03-11,12:00:00,REGULAR,4454077,24463094
1625,A013,R081,01-00-00,05-03-11,16:00:00,REGULAR,4454177,24464220
1626,A013,R081,01-00-00,05-03-11,20:00:00,REGULAR,4454485,24465659
1627,A013,R081,01-00-00,05-04-11,00:00:00,REGULAR,4454650,24466106
1628,A013,R081,01-00-00,05-04-11,04:00:00,REGULAR,4454681,24466145
1631,A013,R081,01-00-00,05-04-11,12:00:00,REGULAR,4454731,24468377
1632,A013,R081,01-00-00,05-04-11,16:00:00,REGULAR,4454840,24469517
1633,A013,R081,01-00-00,05-04-11,20:00:00,REGULAR,4455217,24470786
1634,A013,R081,01-00-00,05-05-11,00:00:00,REGULAR,4455355,24471237
1635,A013,R081,01-00-00,05-05-11,04:00:00,REGULAR,4455389,24471285
1636,A013,R081,01-00-00,05-05-11,08:00:00,REGULAR,4455405,24471785
1637,A013,R081,01-00-00,05-05-11,12:00:00,REGULAR,4455445,24473475
1638,A013,R081,01-00-00,05-05-11,16:00:00,REGULAR,4455557,24474637
1639,A013,R081,01-00-00,05-05-11,20:00:00,REGULAR,4455851,24476270
1640,A013,R081,01-00-00,05-06-11,00:00:00,REGULAR,4456044,24476878
1641,A013,R081,01-00-00,05-06-11,04:00:00,REGULAR,4456088,24476945
1642,A013,R081,01-00-00,05-06-11,08:00:00,REGULAR,4456107,24477428
1643,A013,R081,01-00-00,05-06-11,12:00:00,REGULAR,4456142,24479033
1644,A013,R081,01-00-00,05-06-11,16:00:00,REGULAR,4456235,24480171
1645,A013,R081,01-00-00,05-06-11,20:00:00,REGULAR,4456520,24481769
1646,A013,R081,01-03-00,05-01-11,00:00:00,REGULAR,932059,1135174
1647,A013,R081,01-03-00,05-01-11,04:00:00,REGULAR,932158,1135216
1648,A013,R081,01-03-00,05-01-11,08:00:00,REGULAR,932181,1135235
1649,A013,R081,01-03-00,05-01-11,12:00:00,REGULAR,932245,1135403
1650,A013,R081,01-03-00,05-01-11,16:00:00,REGULAR,932419,1135658
1651,A013,R081,01-03-00,05-01-11,20:00:00,REGULAR,932657,1135886
1652,A013,R081,01-03-00,05-02-11,00:00:00,REGULAR,932836,1136004
1653,A013,R081,01-03-00,05-02-11,04:00:00,REGULAR,932879,1136014
1654,A013,R081,01-03-00,05-02-11,08:00:00,REGULAR,932900,1136213
1655,A013,R081,01-03-00,05-02-11,12:00:00,REGULAR,933012,1136872
1656,A013,R081,01-03-00,05-02-11,16:00:00,REGULAR,933235,1137187
1657,A013,R081,01-03-00,05-02-11,20:00:00,REGULAR,933912,1137530
1658,A013,R081,01-03-00,05-03-11,00:00:00,REGULAR,934199,1137673
1659,A013,R081,01-03-00,05-03-11,04:00:00,REGULAR,934250,1137681
1660,A013,R081,01-03-00,05-03-11,08:00:00,REGULAR,934282,1137845
1661,A013,R081,01-03-00,05-03-11,12:00:00,REGULAR,934388,1138528
1662,A013,R081,01-03-00,05-03-11,16:00:00,REGULAR,934601,1138833
1663,A013,R081,01-03-00,05-03-11,20:00:00,REGULAR,935323,1139266
1664,A013,R081,01-03-00,05-04-11,00:00:00,REGULAR,935674,1139413
1665,A013,R081,01-03-00,05-04-11,04:00:00,REGULAR,935726,1139419
1668,A013,R081,01-03-00,05-04-11,12:00:00,REGULAR,935871,1140343
1669,A013,R081,01-03-00,05-04-11,16:00:00,REGULAR,936136,1140691
1670,A013,R081,01-03-00,05-04-11,20:00:00,REGULAR,936856,1141102
1671,A013,R081,01-03-00,05-05-11,00:00:00,REGULAR,937146,1141224
1672,A013,R081,01-03-00,05-05-11,04:00:00,REGULAR,937207,1141243
1673,A013,R081,01-03-00,05-05-11,08:00:00,REGULAR,937226,1141427
1674,A013,R081,01-03-00,05-05-11,12:00:00,REGULAR,937336,1142096
1675,A013,R081,01-03-00,05-05-11,16:00:00,REGULAR,937557,1142431
1676,A013,R081,01-03-00,05-05-11,20:00:00,REGULAR,938228,1142917
1677,A013,R081,01-03-00,05-06-11,00:00:00,REGULAR,938596,1143102
1678,A013,R081,01-03-00,05-06-11,04:00:00,REGULAR,938675,1143120
1679,A013,R081,01-03-00,05-06-11,08:00:00,REGULAR,938711,1143274
1680,A013,R081,01-03-00,05-06-11,12:00:00,REGULAR,938808,1143889
1681,A013,R081,01-03-00,05-06-11,16:00:00,REGULAR,939056,1144250
1682,A013,R081,01-03-00,05-06-11,20:00:00,REGULAR,939682,1144784
1683,A013,R081,01-03-01,05-01-11,00:00:00,REGULAR,1426977,790574
1684,A013,R081,01-03-01,05-01-11,04:00:00,REGULAR,1427099,790583
1685,A013,R081,01-03-01,05-01-11,08:00:00,REGULAR,1427116,790591
1686,A013,R081,01-03-01,05-01-11,12:00:00,REGULAR,1427237,790667
1687,A013,R081,01-03-01,05-01-11,16:00:00,REGULAR,1427489,790771
1688,A013,R081,01-03-01,05-01-11,20:00:00,REGULAR,1427844,790898
1689,A013,R081,01-03-01,05-02-11,00:00:00,REGULAR,1428076,790948
1690,A013,R081,01-03-01,05-02-11,04:00:00,REGULAR,1428112,790953
1691,A013,R081,01-03-01,05-02-11,08:00:00,REGULAR,1428137,791069
1692,A013,R081,01-03-01,05-02-11,12:00:00,REGULAR,1428292,791537
1693,A013,R081,01-03-01,05-02-11,16:00:00,REGULAR,1428607,791675
1694,A013,R081,01-03-01,05-02-11,20:00:00,REGULAR,1429440,791873
1695,A013,R081,01-03-01,05-03-11,00:00:00,REGULAR,1429768,791945
1696,A013,R081,01-03-01,05-03-11,04:00:00,REGULAR,1429824,791949
1697,A013,R081,01-03-01,05-03-11,08:00:00,REGULAR,1429853,792076
1698,A013,R081,01-03-01,05-03-11,12:00:00,REGULAR,1430028,792522
1699,A013,R081,01-03-01,05-03-11,16:00:00,REGULAR,1430332,792657
1700,A013,R081,01-03-01,05-03-11,20:00:00,REGULAR,1431190,792899
1701,A013,R081,01-03-01,05-04-11,00:00:00,REGULAR,1431598,792955
1702,A013,R081,01-03-01,05-04-11,04:00:00,REGULAR,1431672,792958
1705,A013,R081,01-03-01,05-04-11,12:00:00,REGULAR,1431855,793576
1706,A013,R081,01-03-01,05-04-11,16:00:00,REGULAR,1432169,793786
1707,A013,R081,01-03-01,05-04-11,20:00:00,REGULAR,1433043,793993
1708,A013,R081,01-03-01,05-05-11,00:00:00,REGULAR,1433416,794054
1709,A013,R081,01-03-01,05-05-11,04:00:00,REGULAR,1433497,794059
1710,A013,R081,01-03-01,05-05-11,08:00:00,REGULAR,1433536,794176
1711,A013,R081,01-03-01,05-05-11,12:00:00,REGULAR,1433698,794609
1712,A013,R081,01-03-01,05-05-11,16:00:00,REGULAR,1433998,794812
1713,A013,R081,01-03-01,05-05-11,20:00:00,REGULAR,1434765,795059
1714,A013,R081,01-03-01,05-06-11,00:00:00,REGULAR,1435229,795118
1715,A013,R081,01-03-01,05-06-11,04:00:00,REGULAR,1435312,795127
